"Issues ID","Test ID","Best Practice ID","Date Added","Response ID","Document ID","URL Tested","Project ID","Project Name","Certainty","Priority","Line No.","Column No.","Issue Title","Issue Description","Error Snippet","Issue Signature","Viewport Location","Xpath","Standards","Reference"
"7d40428a043821ebd1138480ae5d7dde",31,113,"2020-02-19T15:25:13.970Z","8c17afb011e2e120f6fa0b9a18d02463","4F59CFAF-0ABB-EF08-9810-43FA01FC","https://tenon.io/api/file.php?docID=4F59CFAF-0ABB-EF08-9810-43FA01FC&store","A145DAFE-531D-A241-EE61-12CC30EC","Still to come!",100,100,9,0,"This link uses an invalid hypertext reference.","This link's `href` attribute is not properly constructed. To be accessible to assistive technology as navigation tools, a hypertext link must have a valid `href` attribute. An empty `href` attribute does not provide a valid navigation target and is inaccessible. Ensure that links have valid `href` attributes.","<a href=""#"">Lorem ipsum dolor sit amet</a>","f9ab8219b5fc883ffd45ec794f250394","{""top-left"":{""x"":88,""y"":266.3125},""bottom-right"":{""x"":261,""y"":283.3125},""height"":17,""width"":173}","/html/body/div[1]/div[3]/div[1]/p[1]/a[1]","Web Content Accessibility Guidelines (WCAG) 2.0, Level A: 4.1.2 Name, Role, Value","https://tenon.io/bestpractice.php?bpID=113&tID=31"
"fc1f1dacf3ef2623d6d18f46299b21e3",31,113,"2020-02-19T15:25:13.970Z","8c17afb011e2e120f6fa0b9a18d02463","4F59CFAF-0ABB-EF08-9810-43FA01FC","https://tenon.io/api/file.php?docID=4F59CFAF-0ABB-EF08-9810-43FA01FC&store","A145DAFE-531D-A241-EE61-12CC30EC","Still to come!",100,100,9,0,"This link uses an invalid hypertext reference.","This link's `href` attribute is not properly constructed. To be accessible to assistive technology as navigation tools, a hypertext link must have a valid `href` attribute. An empty `href` attribute does not provide a valid navigation target and is inaccessible. Ensure that links have valid `href` attributes.","<a href=""#"">Consectetuer adipiscing elit</a>","46bde96a6ac3735a253488438755fd52","{""top-left"":{""x"":88,""y"":300.3125},""bottom-right"":{""x"":261,""y"":317.3125},""height"":17,""width"":173}","/html/body/div[1]/div[3]/div[1]/p[2]/a[1]","Web Content Accessibility Guidelines (WCAG) 2.0, Level A: 4.1.2 Name, Role, Value","https://tenon.io/bestpractice.php?bpID=113&tID=31"
"b76b09f83c4f00ea87ae30ca7ffa8648",31,113,"2020-02-19T15:25:13.970Z","8c17afb011e2e120f6fa0b9a18d02463","4F59CFAF-0ABB-EF08-9810-43FA01FC","https://tenon.io/api/file.php?docID=4F59CFAF-0ABB-EF08-9810-43FA01FC&store","A145DAFE-531D-A241-EE61-12CC30EC","Still to come!",100,100,9,0,"This link uses an invalid hypertext reference.","This link's `href` attribute is not properly constructed. To be accessible to assistive technology as navigation tools, a hypertext link must have a valid `href` attribute. An empty `href` attribute does not provide a valid navigation target and is inaccessible. Ensure that links have valid `href` attributes.","<a href=""#"">Donec molestie nunc eu sapien</a>","21d852af5907b5a8a8d08905cce74d23","{""top-left"":{""x"":88,""y"":334.3125},""bottom-right"":{""x"":284,""y"":351.3125},""height"":17,""width"":196}","/html/body/div[1]/div[3]/div[1]/p[3]/a[1]","Web Content Accessibility Guidelines (WCAG) 2.0, Level A: 4.1.2 Name, Role, Value","https://tenon.io/bestpractice.php?bpID=113&tID=31"
"08d1191cb471789f3664b3cce3faaa3e",31,113,"2020-02-19T15:25:13.970Z","8c17afb011e2e120f6fa0b9a18d02463","4F59CFAF-0ABB-EF08-9810-43FA01FC","https://tenon.io/api/file.php?docID=4F59CFAF-0ABB-EF08-9810-43FA01FC&store","A145DAFE-531D-A241-EE61-12CC30EC","Still to come!",100,100,9,0,"This link uses an invalid hypertext reference.","This link's `href` attribute is not properly constructed. To be accessible to assistive technology as navigation tools, a hypertext link must have a valid `href` attribute. An empty `href` attribute does not provide a valid navigation target and is inaccessible. Ensure that links have valid `href` attributes.","<a href=""#"">Maecenas aliquam dolor eget metus</a>","990caa613d68bc25be456603d117be0d","{""top-left"":{""x"":88,""y"":368.3125},""bottom-right"":{""x"":313,""y"":385.3125},""height"":17,""width"":225}","/html/body/div[1]/div[3]/div[1]/p[4]/a[1]","Web Content Accessibility Guidelines (WCAG) 2.0, Level A: 4.1.2 Name, Role, Value","https://tenon.io/bestpractice.php?bpID=113&tID=31"
"68e96da7f65028be52796edc5a4fb2d7",31,113,"2020-02-19T15:25:13.970Z","8c17afb011e2e120f6fa0b9a18d02463","4F59CFAF-0ABB-EF08-9810-43FA01FC","https://tenon.io/api/file.php?docID=4F59CFAF-0ABB-EF08-9810-43FA01FC&store","A145DAFE-531D-A241-EE61-12CC30EC","Still to come!",100,100,9,0,"This link uses an invalid hypertext reference.","This link's `href` attribute is not properly constructed. To be accessible to assistive technology as navigation tools, a hypertext link must have a valid `href` attribute. An empty `href` attribute does not provide a valid navigation target and is inaccessible. Ensure that links have valid `href` attributes.","<a href=""#"">Fusce tristique lorem id metus</a>","6954aef660e77e718e64d65fa012e987","{""top-left"":{""x"":88,""y"":402.3125},""bottom-right"":{""x"":276,""y"":419.3125},""height"":17,""width"":188}","/html/body/div[1]/div[3]/div[1]/p[5]/a[1]","Web Content Accessibility Guidelines (WCAG) 2.0, Level A: 4.1.2 Name, Role, Value","https://tenon.io/bestpractice.php?bpID=113&tID=31"
"21ab8e304a14c8d8bd5783b9548447c7",31,113,"2020-02-19T15:25:13.970Z","8c17afb011e2e120f6fa0b9a18d02463","4F59CFAF-0ABB-EF08-9810-43FA01FC","https://tenon.io/api/file.php?docID=4F59CFAF-0ABB-EF08-9810-43FA01FC&store","A145DAFE-531D-A241-EE61-12CC30EC","Still to come!",100,100,9,0,"This link uses an invalid hypertext reference.","This link's `href` attribute is not properly constructed. To be accessible to assistive technology as navigation tools, a hypertext link must have a valid `href` attribute. An empty `href` attribute does not provide a valid navigation target and is inaccessible. Ensure that links have valid `href` attributes.","<a href=""#"">Enlaces relacionados</a>","32bb0a954528f267e2c2f8e631bccc43","{""top-left"":{""x"":8,""y"":439.03125},""bottom-right"":{""x"":178,""y"":460.03125},""height"":21,""width"":170}","/html/body/div[1]/div[3]/div[1]/h3[2]/a[1]","Web Content Accessibility Guidelines (WCAG) 2.0, Level A: 4.1.2 Name, Role, Value","https://tenon.io/bestpractice.php?bpID=113&tID=31"
"fe31f08f2763a7e6fa306f8835587b08",31,113,"2020-02-19T15:25:13.970Z","8c17afb011e2e120f6fa0b9a18d02463","4F59CFAF-0ABB-EF08-9810-43FA01FC","https://tenon.io/api/file.php?docID=4F59CFAF-0ABB-EF08-9810-43FA01FC&store","A145DAFE-531D-A241-EE61-12CC30EC","Still to come!",100,100,9,0,"This link uses an invalid hypertext reference.","This link's `href` attribute is not properly constructed. To be accessible to assistive technology as navigation tools, a hypertext link must have a valid `href` attribute. An empty `href` attribute does not provide a valid navigation target and is inaccessible. Ensure that links have valid `href` attributes.","<a href=""#"">Proin placerat</a>","83fbabac27ac1274dd938d1be9e200b0","{""top-left"":{""x"":48,""y"":479.75},""bottom-right"":{""x"":135,""y"":496.75},""height"":17,""width"":87}","/html/body/div[1]/div[3]/div[1]/ul[1]/li[1]/a[1]","Web Content Accessibility Guidelines (WCAG) 2.0, Level A: 4.1.2 Name, Role, Value","https://tenon.io/bestpractice.php?bpID=113&tID=31"
"aeb6bd1bb09ffd6ef210e3adc5a2c643",31,113,"2020-02-19T15:25:13.970Z","8c17afb011e2e120f6fa0b9a18d02463","4F59CFAF-0ABB-EF08-9810-43FA01FC","https://tenon.io/api/file.php?docID=4F59CFAF-0ABB-EF08-9810-43FA01FC&store","A145DAFE-531D-A241-EE61-12CC30EC","Still to come!",100,100,9,0,"This link uses an invalid hypertext reference.","This link's `href` attribute is not properly constructed. To be accessible to assistive technology as navigation tools, a hypertext link must have a valid `href` attribute. An empty `href` attribute does not provide a valid navigation target and is inaccessible. Ensure that links have valid `href` attributes.","<a href=""#"">Nulla in felis</a>","4af7f7062db7106dc1f40405287db582","{""top-left"":{""x"":48,""y"":497.75},""bottom-right"":{""x"":129,""y"":514.75},""height"":17,""width"":81}","/html/body/div[1]/div[3]/div[1]/ul[1]/li[2]/a[1]","Web Content Accessibility Guidelines (WCAG) 2.0, Level A: 4.1.2 Name, Role, Value","https://tenon.io/bestpractice.php?bpID=113&tID=31"
"539f617ab6b8c3f3f868504146a5721b",31,113,"2020-02-19T15:25:13.970Z","8c17afb011e2e120f6fa0b9a18d02463","4F59CFAF-0ABB-EF08-9810-43FA01FC","https://tenon.io/api/file.php?docID=4F59CFAF-0ABB-EF08-9810-43FA01FC&store","A145DAFE-531D-A241-EE61-12CC30EC","Still to come!",100,100,19,53,"This link uses an invalid hypertext reference.","This link's `href` attribute is not properly constructed. To be accessible to assistive technology as navigation tools, a hypertext link must have a valid `href` attribute. An empty `href` attribute does not provide a valid navigation target and is inaccessible. Ensure that links have valid `href` attributes.","<a href=""#"">Nam luctus</a>","94cdc3139e63062df1d45ca145d027cc","{""top-left"":{""x"":48,""y"":515.75},""bottom-right"":{""x"":120,""y"":532.75},""height"":17,""width"":72}","/html/body/div[1]/div[3]/div[1]/ul[1]/li[3]/a[1]","Web Content Accessibility Guidelines (WCAG) 2.0, Level A: 4.1.2 Name, Role, Value","https://tenon.io/bestpractice.php?bpID=113&tID=31"
"279231d17010a8e243901898c01350ca",31,113,"2020-02-19T15:25:13.970Z","8c17afb011e2e120f6fa0b9a18d02463","4F59CFAF-0ABB-EF08-9810-43FA01FC","https://tenon.io/api/file.php?docID=4F59CFAF-0ABB-EF08-9810-43FA01FC&store","A145DAFE-531D-A241-EE61-12CC30EC","Still to come!",100,100,26,0,"This link uses an invalid hypertext reference.","This link's `href` attribute is not properly constructed. To be accessible to assistive technology as navigation tools, a hypertext link must have a valid `href` attribute. An empty `href` attribute does not provide a valid navigation target and is inaccessible. Ensure that links have valid `href` attributes.","<a href=""#"">Publicidad</a>","2331a35ebf16ef3f9774999240e6d97c","{""top-left"":{""x"":8,""y"":552.46875},""bottom-right"":{""x"":97,""y"":573.46875},""height"":21,""width"":89}","/html/body/div[1]/div[3]/div[2]/h3[1]/a[1]","Web Content Accessibility Guidelines (WCAG) 2.0, Level A: 4.1.2 Name, Role, Value","https://tenon.io/bestpractice.php?bpID=113&tID=31"
